1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
1023,1822,1823,524,1197,1199,1005,754,1159,894,1279,812,1570,1954,1542,1723,831,1165,708,1565,1046,1034,1797,1400,245,383,927,219,95,112,577,576,120,472,582,226,587,113,322,1887
1024,425,243,55,1845,1327,907,1557,827,1674,1515,683,834,1110,1623,1290,1117,1432,782,1790,1385,1044,290,166,48,476,102,357,458,601,480,128,211,400,258,678,237,448,550,1819
1942,574,661,460,1872,799,1198,1271,1559,1853,1541,694,699,1631,1288,1862,1341,771,870,961,798,292,1661,429,1930,466,405,387,75,534,537,501,635,208,195,278,570,213,164,1505
1756,172,654,199,1519,1992,1812,1285,1584,1993,1281,1933,763,1160,1145,1007,1990,1108,1754,1548,1273,1747,432,331,552,234,149,436,184,203,459,504,519,81,327,259,240,396,107,1506
1129,569,464,679,1772,733,1423,697,939,1526,1441,929,934,1543,945,1619,1421,1938,1894,1689,768,1091,1712,190,248,566,1865,281,283,232,180,277,177,338,349,491,613,404,579,1774
1471,659,382,561,363,1229,1725,1182,767,1214,1187,1791,1814,1858,1482,966,1395,1389,1857,1012,1146,1715,1947,1684,1846,371,1610,445,162,607,444,215,249,89,571,58,525,86,323,1807
1131,493,390,614,1167,1467,946,1150,1272,1875,1224,1827,1006,835,1911,910,891,1560,1220,986,1314,1903,1550,840,1501,1986,391,507,50,1244,1697,1766,141,668,222,154,650,321,191,1808
1166,315,130,1592,1860,1000,1850,1442,1292,1143,781,1361,745,1485,1377,1716,1254,716,869,1991,1447,1095,786,1734,842,1996,385,1589,720,1396,1440,1671,135,602,478,575,97,183,67,1835
1175,399,612,53,1820,882,778,820,828,1722,1603,723,896,1158,1867,1869,801,884,965,722,703,794,1218,1989,957,911,955,1098,735,1675,1581,1089,1974,326,254,484,489,193,76,1836
830,536,527,500,1518,1953,1787,1109,1665,888,833,949,1004,1830,853,857,816,1554,1060,788,1156,1221,1595,1651,1551,839,770,1157,717,1985,1806,1211,1799,479,352,523,544,632,198,1759
1436,618,440,320,244,1540,1434,1868,1245,1714,793,1204,1002,1945,1658,1084,1691,993,1302,1917,1599,748,698,1087,1844,1668,1362,1874,1745,401,1231,1172,324,1831,421,229,96,563,660,1758
1437,648,42,626,374,639,1429,777,1809,1810,954,1251,1657,925,1111,1567,1178,1569,1225,1984,1185,1870,1792,1785,1466,1840,1056,1910,307,106,485,1755,1333,242,282,299,59,161,642,1975
1051,142,606,298,430,549,1929,1912,843,1800,942,1022,1864,1497,1909,1743,1152,712,739,879,1736,913,1460,1507,1977,1729,1305,1761,377,257,355,710,1905,981,591,628,437,297,185,1922
1140,284,508,415,1730,638,1770,1906,1413,1983,1968,1298,1513,1711,1212,702,1899,790,969,1750,1679,1829,817,749,1642,1793,758,262,304,394,841,1837,1390,852,541,580,238,663,384,1193
1137,498,368,329,1811,1897,1215,1687,1907,1925,948,1119,1871,1692,937,1739,885,1659,783,1348,1456,1558,931,1419,1408,1768,1923,750,1071,1795,1196,1544,1900,805,137,1418,456,634,376,1733
1821,341,646,345,766,851,1705,1883,1171,1767,1123,1122,1206,1347,1010,849,1209,1744,1264,1451,1849,1121,1402,1964,1063,1064,1866,1306,1033,1539,1242,1443,1882,1379,1556,1818,583,85,79,1141
1776,483,406,88,531,1260,1586,962,845,909,1249,810,685,808,1113,1055,1963,1982,1709,964,1163,963,1332,759,881,1275,695,1597,764,1065,1538,718,871,1987,1079,933,922,108,670,1138
1921,1731,1732,1524,1523,1301,1425,1430,1424,1303,1256,1299,1300,1262,1258,1259,1708,1707,1706,1142,1148,1201,1203,1202,1183,1184,1181,1105,1106,1274,1635,1634,1633,1632,1372,1371,1760,1139,1136,1134
